Title,Authors,Link,Bookshelf
The Strange Case of Dr. Jekyll and Mr. Hyde,Stevenson, Robert Louis, 1850-1894,http://www.gutenberg.org/ebooks/43,"Precursors of Science Fiction, Horror, Movie Books"
The Song of the Lark,Cather, Willa, 1873-1947,http://www.gutenberg.org/ebooks/44,Opera
Anne of Green Gables,Montgomery, L. M. (Lucy Maud), 1874-1942,http://www.gutenberg.org/ebooks/45,"Children's Literature, Canada"
"A Christmas Carol in Prose, Being a Ghost Story of Christmas","Dickens, Charles, 1812-1870, Leech, John, 1817-1864 [Illustrator]",http://www.gutenberg.org/ebooks/46,"Children's Literature, Christmas"
Anne of Avonlea,Montgomery, L. M. (Lucy Maud), 1874-1942,http://www.gutenberg.org/ebooks/47,"Children's Literature, Canada"
The 1992 CIA World Factbook,United States. Central Intelligence Agency,http://www.gutenberg.org/ebooks/48,CIA World Factbooks
Surfing the Internet: An Introduction Version 2.0.2,Polly, Jean Armour,http://www.gutenberg.org/ebooks/49,
Pi,Hemphill, Scott,http://www.gutenberg.org/ebooks/50,Mathematics
Anne of the Island,Montgomery, L. M. (Lucy Maud), 1874-1942,http://www.gutenberg.org/ebooks/51,"Children's Literature, Canada"
The Square Root of 2,Kerr, Stan,http://www.gutenberg.org/ebooks/52,Mathematics
Workshop on Electronic Texts: Proceedings, 9-10 June 1992,"Library of Congress, Daly, James, 1948- [Editor]",http://www.gutenberg.org/ebooks/53,
The Marvelous Land of Oz,Baum, L. Frank (Lyman Frank), 1856-1919,http://www.gutenberg.org/ebooks/54,"Children's Literature, Fantasy"
The Wonderful Wizard of Oz,Baum, L. Frank (Lyman Frank), 1856-1919,http://www.gutenberg.org/ebooks/55,"Children's Literature, Fantasy"
NREN for All: Insurmountable Opportunity,Polly, Jean Armour,http://www.gutenberg.org/ebooks/56,
Aladdin and the Magic Lamp,Unknown,http://www.gutenberg.org/ebooks/57,
Paradise Regained,Milton, John, 1608-1674,http://www.gutenberg.org/ebooks/58,
Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences,"Descartes, René, 1596-1650, Veitch, John, 1829-1894 [Translator]",http://www.gutenberg.org/ebooks/59,"Harvard Classics, Philosophy"
The Scarlet Pimpernel,Orczy, Emmuska Orczy, Baroness, 1865-1947,http://www.gutenberg.org/ebooks/60,"Adventure, Best Books Ever Listings, Movie Books"
The Communist Manifesto,"Engels, Friedrich, 1820-1895, Marx, Karl, 1818-1883",http://www.gutenberg.org/ebooks/61,"Politics, Philosophy, Banned Books from Anne Haight's list"
A Princess of Mars,Burroughs, Edgar Rice, 1875-1950,http://www.gutenberg.org/ebooks/62,"Best Books Ever Listings, Science Fiction"
"The Number ""e""",Unknown,http://www.gutenberg.org/ebooks/63,Historical Fiction
The Gods of Mars,Burroughs, Edgar Rice, 1875-1950,http://www.gutenberg.org/ebooks/64,Science Fiction
The First 100,000 Prime Numbers,Unknown,http://www.gutenberg.org/ebooks/65,
The Dawn of Amateur Radio in the U.K. and Greece: A Personal View,Joly, Norman F.,http://www.gutenberg.org/ebooks/66,
The Black Experience in America,Coombs, Norman, 1932-,http://www.gutenberg.org/ebooks/67,
The warlord of Mars,Burroughs, Edgar Rice, 1875-1950,http://www.gutenberg.org/ebooks/68,Science Fiction
The 32nd Mersenne Prime Predicted by Mersenne,Slowinski, David,http://www.gutenberg.org/ebooks/69,Mathematics
What Is Man? and Other Essays,Twain, Mark, 1835-1910,http://www.gutenberg.org/ebooks/70,
On the Duty of Civil Disobedience,Thoreau, Henry David, 1817-1862,http://www.gutenberg.org/ebooks/71,
Thuvia, Maid of Mars,Burroughs, Edgar Rice, 1875-1950,http://www.gutenberg.org/ebooks/72,Science Fiction
The Red Badge of Courage: An Episode of the American Civil War,Crane, Stephen, 1871-1900,http://www.gutenberg.org/ebooks/73,"US Civil War, Historical Fiction, Best Books Ever Listings, Bestsellers, American, 1895-1923"
The Adventures of Tom Sawyer, Complete,Twain, Mark, 1835-1910,http://www.gutenberg.org/ebooks/74,"Banned Books from Anne Haight's list, Banned Books List from the American Library Association"
E-mail 101,Goodwin, John E.,http://www.gutenberg.org/ebooks/75,
Adventures of Huckleberry Finn,"Twain, Mark, 1835-1910, Kemble, E. W. (Edward Windsor), 1861-1933 [Illustrator]",http://www.gutenberg.org/ebooks/76,"Best Books Ever Listings, Banned Books from Anne Haight's list, Banned Books List from the American Library Association"
The House of the Seven Gables,Hawthorne, Nathaniel, 1804-1864,http://www.gutenberg.org/ebooks/77,Best Books Ever Listings
